City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Srednekolymsk,RU,67.45,153.6833,-47.99,100,60,3.29,broken clouds
277,Oranjestad,AW,12.524,-70.027,82.9,72,9,4.0,clear sky
278,Flic En Flac,MU,-20.2742,57.3631,79.52,73,34,8.72,scattered clouds
279,Atambua,ID,-9.1061,124.8925,73.45,88,93,4.21,overcast clouds
280,Seoul,KR,37.5683,126.9778,24.24,72,30,0.58,scattered clouds
281,Ancud,CL,-41.8697,-73.8203,59.0,77,57,8.81,broken clouds
282,Cajati,BR,-24.7361,-48.1228,84.97,65,93,2.39,overcast clouds
283,Qianan,CN,44.9932,124.0581,-0.54,87,5,4.61,clear sky
284,Victoria,HK,22.2855,114.1577,63.25,78,49,11.01,scattered clouds
285,Kiama,AU,-34.6833,150.8667,70.0,93,100,1.01,overcast clouds
286,Saldanha,ZA,-33.0117,17.9442,65.16,91,94,9.19,overcast clouds
287,Adrar,MR,20.5022,-10.0711,68.43,12,0,10.38,clear sky
288,Kaka,TM,37.3482,59.6143,48.54,25,13,4.21,few clouds
289,Port Shepstone,ZA,-30.7414,30.455,73.6,90,11,16.87,few clouds
290,Olafsvik,IS,64.8945,-23.7142,30.36,57,100,2.98,overcast clouds
291,Lerwick,GB,60.1545,-1.1494,44.6,85,99,12.59,light rain
292,Muros,ES,42.7762,-9.0603,56.08,86,99,12.46,overcast clouds
293,Fairbanks,US,64.8378,-147.7164,10.6,86,85,2.93,overcast clouds
294,Oranjemund,NA,-28.55,16.4333,66.63,80,100,7.23,overcast clouds
295,Koungou,YT,-12.7336,45.2042,80.31,83,0,4.61,clear sky
296,Boa Vista,BR,2.8197,-60.6733,91.38,43,40,6.91,scattered clouds
297,Iqaluit,CA,63.7506,-68.5145,-4.31,83,100,1.99,overcast clouds
298,Coari,BR,-4.085,-63.1414,77.2,94,100,3.8,overcast clouds
299,Madang,PG,-5.2246,145.7966,75.85,93,100,6.51,overcast clouds
300,Bosaso,SO,11.2842,49.1816,75.43,80,7,9.37,clear sky
301,Kyaukse,MM,21.6,96.1333,61.84,68,3,2.98,clear sky
302,Bahia Honda,CU,22.9036,-83.1592,82.18,63,22,13.27,few clouds
303,Nuuk,GL,64.1835,-51.7216,14.61,52,75,10.36,broken clouds
304,Grindavik,IS,63.8424,-22.4338,32.47,47,75,3.44,broken clouds
305,North Bend,US,43.4065,-124.2243,47.07,100,100,5.35,overcast clouds
306,Harper,LR,4.375,-7.7169,79.38,76,13,6.91,few clouds
307,Sola,VU,-13.8833,167.55,78.35,84,100,17.02,moderate rain
308,Nyagan,RU,62.1406,65.3936,11.75,97,100,3.04,light snow
309,Tikhvin,RU,59.6451,33.5294,16.32,95,70,5.82,broken clouds
310,Sao Filipe,CV,14.8961,-24.4956,75.56,67,80,10.6,broken clouds
311,Yamada,JP,39.4667,141.95,30.45,59,42,12.88,scattered clouds
312,Tupancireta,BR,-29.0806,-53.8358,88.21,17,100,10.87,overcast clouds
313,Yinchuan,CN,38.4681,106.2731,23.0,38,100,2.21,overcast clouds
314,Nishihara,JP,26.1842,127.7558,60.08,82,75,14.97,broken clouds
315,Hambantota,LK,6.1241,81.1185,74.12,78,86,13.51,overcast clouds
316,Codrington,AU,-38.2667,141.9667,55.8,58,100,13.33,overcast clouds
317,Panjab,AF,34.388,67.0233,0.3,73,0,5.79,clear sky
318,Livramento,BR,-3.0254,-60.1803,81.28,78,75,6.91,broken clouds
319,Constitucion,CL,-35.3333,-72.4167,69.78,57,0,20.56,clear sky
320,Yulara,AU,-25.2406,130.9889,72.73,64,100,10.51,overcast clouds
321,Mattru,SL,7.6244,-11.8332,75.87,63,1,4.83,clear sky
322,Inhambane,MZ,-23.865,35.3833,74.8,83,3,4.21,clear sky
323,Bow Island,CA,49.8668,-111.3684,31.48,84,13,14.72,few clouds
324,Tres Arroyos,AR,-38.3739,-60.2798,78.51,26,6,12.01,clear sky
325,Little Current,CA,45.9793,-81.9248,34.47,86,100,1.01,overcast clouds
326,Launceston,AU,-41.45,147.1667,53.62,91,100,10.36,overcast clouds
327,Bergen,NO,60.392,5.328,39.61,65,75,9.22,broken clouds
328,Trairi,BR,-3.2778,-39.2689,81.43,73,67,12.06,broken clouds
329,Gryfino,PL,53.2524,14.4883,35.56,91,0,5.82,clear sky
330,Saint George,US,37.1041,-113.5841,42.26,89,100,3.0,light rain
331,Abay,KZ,49.6311,72.8539,21.58,93,100,26.42,light snow
332,Lahat,ID,-3.8,103.5333,71.92,95,100,1.68,overcast clouds
333,Potsdam,DE,52.3989,13.0657,44.29,82,100,5.32,overcast clouds
334,Domat,CH,46.8348,9.4508,44.94,91,100,0.6,overcast clouds
335,Tual,ID,-5.6667,132.75,82.89,80,100,16.06,overcast clouds
336,Syasstroy,RU,60.1367,32.5691,15.35,95,59,6.26,broken clouds
337,Parkersburg,US,39.2667,-81.5615,62.15,94,100,8.05,overcast clouds
338,Ogaminana,NG,7.5946,6.2248,81.61,26,12,2.1,few clouds
339,Grand-Santi,GF,4.25,-54.3833,78.22,95,100,3.13,light rain
340,Dalbandin,PK,28.8947,64.4101,45.81,34,35,5.26,scattered clouds
341,Haines Junction,CA,60.7522,-137.5108,25.86,95,100,0.78,overcast clouds
342,Narsaq,GL,60.9167,-46.05,-7.38,65,17,7.43,few clouds
343,Labytnangi,RU,66.6572,66.4183,2.14,94,100,20.36,light snow
344,Kholm,RU,59.2667,32.85,20.61,95,98,6.91,overcast clouds
345,Coquimbo,CL,-29.9533,-71.3436,69.53,64,0,14.97,clear sky
346,Asau,RO,46.4333,26.4,47.32,82,100,0.74,overcast clouds
347,Valparaiso,CL,-33.0393,-71.6273,76.64,54,0,14.97,clear sky
348,Balad,IQ,34.0164,44.1453,54.39,31,61,5.68,broken clouds
349,Tonj,SS,7.2737,28.6822,79.83,35,33,2.93,scattered clouds
350,Scottsbluff,US,41.8666,-103.6672,32.23,83,75,4.61,snow
351,Charlestown,AU,-32.95,151.6667,71.82,86,4,1.01,clear sky
352,Buchanan,LR,5.8808,-10.0467,78.37,75,5,7.65,clear sky
353,Yumen,CN,40.2833,97.2,14.34,57,2,9.17,clear sky
354,Lichinga,MZ,-13.3128,35.2406,62.35,93,93,3.02,overcast clouds
355,Kitimat,CA,54.0524,-128.6534,34.18,32,100,1.48,light snow
356,Mwene-Ditu,CD,-7.0,23.45,66.15,94,100,3.6,overcast clouds
357,Husavik,IS,66.0449,-17.3389,25.02,90,100,5.21,light snow
358,Aksha,RU,50.2814,113.2867,-16.22,98,58,3.6,broken clouds
359,Bereda,ES,43.2686,-7.5406,41.0,97,80,3.2,broken clouds
