City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Nove Straseci,CZ,2022-12-31 01:08:03,50.1527,13.9004,49.93,95,100,15.32
93,Mnogovershinnyy,RU,2022-12-31 01:08:03,53.9353,139.9242,1.8,91,100,4.07
94,Kathmandu,NP,2022-12-31 01:05:12,27.7167,85.3167,41.22,93,20,2.3
95,Goure,NE,2022-12-31 01:08:03,13.9835,10.2704,55.63,21,0,8.7
96,Khatanga,RU,2022-12-31 01:08:04,71.9667,102.5,-2.52,80,100,23.47
97,Faanui,PF,2022-12-31 01:08:05,-16.4833,-151.75,80.29,76,100,9.86
98,Plouzane,FR,2022-12-31 01:08:05,48.3833,-4.6167,57.52,94,100,35.68
99,Pevek,RU,2022-12-31 01:08:06,69.7008,170.3133,-35.5,100,100,4.92
100,Mercedes,AR,2022-12-31 01:08:07,-34.6515,-59.4307,83.79,23,0,6.38
101,Oksfjord,NO,2022-12-31 01:08:07,70.2396,22.3479,32.18,88,21,14.63
102,Gravdal,NO,2022-12-31 01:08:07,68.1214,13.5031,35.78,73,100,22.1
103,Georgetown,MY,2022-12-31 01:05:23,5.4112,100.3354,78.73,69,20,5.75
104,Leningradskiy,RU,2022-12-31 01:08:08,69.3833,178.4167,-23.08,97,100,9.06
105,Rawson,AR,2022-12-31 01:08:08,-43.3002,-65.1023,62.37,47,51,9.51
106,Guerrero Negro,MX,2022-12-31 01:08:09,27.9769,-114.0611,61.77,79,1,13.49
107,Tammisaari,FI,2022-12-31 01:08:09,59.9736,23.4339,39.29,93,100,14.14
108,Mataura,NZ,2022-12-31 01:08:09,-46.1927,168.8643,71.55,36,79,2.19
109,Grand Baie,MU,2022-12-31 01:07:25,-20.0182,57.5802,76.69,70,0,2.82
110,Gigmoto,PH,2022-12-31 01:06:54,13.7796,124.39,81.39,81,92,5.44
111,Sinazongwe,ZM,2022-12-31 01:08:10,-17.2614,27.4618,74.89,77,100,10.2
112,Necochea,AR,2022-12-31 01:08:10,-38.5473,-58.7368,59.88,89,80,4.03
113,Cape Town,ZA,2022-12-31 01:06:29,-33.9258,18.4232,67.37,62,0,15.99
114,Hami,CN,2022-12-31 01:08:12,42.8,93.45,17.82,51,100,5.66
115,Chaykovskaya,RU,2022-12-31 01:08:13,58.1279,55.5378,1.29,97,52,6.82
116,Batagay-Alyta,RU,2022-12-31 01:08:13,67.8006,130.4114,-15.75,87,100,1.86
117,Vila Velha,BR,2022-12-31 01:06:07,-20.3297,-40.2925,76.95,91,40,4.61
118,Vestmanna,FO,2022-12-31 01:08:13,62.1564,-7.1664,27.52,69,75,25.32
119,San Patricio,US,2022-12-31 01:08:14,28.017,-97.5169,65.17,64,91,4.56
120,Banda Aceh,ID,2022-12-31 01:08:15,5.5577,95.3222,74.86,80,89,8.79
121,Grand Gaube,MU,2022-12-31 01:08:18,-20.0064,57.6608,76.78,69,0,2.33
122,Tiksi,RU,2022-12-31 01:08:18,71.6872,128.8694,0.3,93,100,15.99
123,Vila,PT,2022-12-31 01:08:19,42.0304,-8.1588,49.08,85,100,10.51
124,Torrington,US,2022-12-31 01:08:19,41.8007,-73.1212,48.74,78,20,1.01
125,Sao Filipe,CV,2022-12-31 01:08:20,14.8961,-24.4956,71.76,65,28,9.66
126,Olean,US,2022-12-31 01:08:20,42.0776,-78.4297,57.78,71,40,9.22
127,Flinders,AU,2022-12-31 01:08:20,-34.5833,150.8552,80.19,72,49,5.01
128,Highland Springs,US,2022-12-31 01:08:21,37.546,-77.3278,60.53,83,40,5.75
129,Amot,NO,2022-12-31 01:08:21,59.5714,7.9877,35.76,89,100,8.52
130,Ormara,PK,2022-12-31 01:08:21,25.2088,64.6357,66.72,36,0,10.58
131,Korla,CN,2022-12-31 01:08:22,41.7597,86.1469,19.94,53,5,5.06
132,Krasnoselkup,RU,2022-12-31 01:08:22,65.7,82.4667,-17.52,85,9,9.57
133,Ordu,TR,2022-12-31 01:08:22,40.9086,37.6845,30.7,56,0,7.61
134,Rafaela,AR,2022-12-31 01:08:23,-31.2503,-61.4867,82.0,40,0,9.17
135,Dingle,PH,2022-12-31 01:08:24,10.9995,122.6711,80.19,85,100,7.23
136,Yumen,CN,2022-12-31 01:09:24,40.2833,97.2,11.75,60,8,13.44
137,Bredasdorp,ZA,2022-12-31 01:09:25,-34.5322,20.0403,64.49,68,98,14.34
